chip,bbox
91c1d,"[76.296857085851, 25.293286882405724, 76.3225312249884, 25.316625321426386]"
370c9,"[83.86932927378608, 19.00890598806526, 83.89402299073654, 19.03239208127305]"
878be,"[83.36232757596328, 19.2473524117013, 83.38700049061764, 19.27078444987773]"
2f851,"[82.44665868046494, 27.14074787258542, 82.47278806238424, 27.16412173752336]"
d354e,"[83.2175339476671, 19.341671585880697, 83.24220466839829, 19.365087872645674]"
0a76e,"[83.58426385332157, 19.429255576166828, 83.60899445484523, 19.452715914670332]"
63409,"[76.52050580470677, 24.87506270158804, 76.54612812919088, 24.89843467630182]"
b516c,"[87.30593061057918, 25.599375302818906, 87.3314882595931, 25.622548208637244]"
d42cf,"[83.0725670401605, 19.43589126471292, 83.09723524203646, 19.459291444896337]"
4b6b1,"[77.23684219585941, 25.2587567826273, 77.2626737459508, 25.282245057438153]"
dd344,"[76.62426758694033, 25.058859630536272, 76.64994819519409, 25.082249403065784]"
c1da3,"[81.51941985932243, 27.72519084854408, 81.54550499682338, 27.748400566196334]"
1c1b9,"[81.70002987395938, 27.53948107694018, 81.72610722202896, 27.562723699154173]"
9d52e,"[81.39106242397933, 28.141612505419786, 81.41722227920368, 28.164798202998202]"
cb0e1,"[82.44875019136875, 27.302481469519105, 82.47491942761388, 27.325856641359035]"
25432,"[76.57411572852462, 25.10563534556197, 76.59979783553811, 25.129017444426285]"
ceac6,"[82.45085927585157, 27.464211169526045, 82.47706869564651, 27.48758765119662]"
5598e,"[87.33117025485664, 25.506845648406408, 87.35671283728408, 25.530022986504036]"
4ab85,"[87.84208901644593, 25.712756525342414, 87.86777231910477, 25.736020975186737]"
11923,"[82.44815082837995, 27.256272267322917, 82.47430864417375, 27.279647065466385]"
0e9b0,"[76.67033923437133, 24.71164086365227, 76.69595204723356, 24.735035319124453]"
61c22,"[87.55990021145902, 25.390523809005828, 87.58546074559682, 25.413740108403672]"
b01f9,"[82.42171023391103, 27.210332106440696, 82.44785168405335, 27.23370202958497]"
27604,"[81.41432173629235, 27.402012087556873, 81.44030786420122, 27.42520264116588]"
26be3,"[81.18230190062712, 28.026541403422055, 81.20838942181138, 28.049688057619264]"
e84a7,"[82.5279252765353, 27.417158983604985, 82.55413822133461, 27.440548689804867]"
48a0f,"[76.777488960385, 25.126413768992368, 76.80321126099926, 25.14982843192894]"
b2a94,"[81.51768389480006, 27.35542491425263, 81.54368007377126, 27.378634314934335]"
927cf,"[81.44197584728029, 27.84102512982837, 81.46807296865126, 27.864220520245137]"
fa421,"[76.90439890615303, 25.12481525520367, 76.93014291138677, 25.148249983776484]"
73ceb,"[81.41545081045925, 27.702451088903302, 81.44150892880727, 27.72564165553881]"
8b528,"[82.3700238602769, 27.210856535839735, 82.39615534630612, 27.234217441062373]"
b2de1,"[82.55608772500814, 27.57858710081893, 82.58234626053185, 27.60198277118201]"
57ee6,"[87.91739787827757, 25.550479549874296, 87.94305943179864, 25.57375626817139]"
51cb0,"[82.29356091167088, 27.304032281729327, 82.31970006953001, 27.327380259668146]"
892a1,"[81.8811350560203, 27.49219774154532, 81.90723769709776, 27.51547301789134]"
5f949,"[83.41960092093821, 19.824561728995175, 83.44437860150467, 19.848008244729343]"
d3eac,"[82.1141121225373, 27.467375338669864, 82.14025551012999, 27.490692255062143]"
487cc,"[81.31205100329099, 27.864514653778528, 81.33812665142564, 27.88768588581776]"
a89e6,"[82.32079710170444, 27.419313811519974, 82.34696980560594, 27.442667154141073]"
afec9,"[83.29319255001522, 19.52568875906088, 83.31790345891118, 19.549116293754956]"
ad4ed,"[76.76957971988608, 24.57180695478678, 76.79517925155504, 24.59521577427298]"
e9fa0,"[76.67375528147905, 24.965849818986218, 76.69942408592416, 24.989246758458485]"
8d9f2,"[81.1304674161995, 28.23459470239886, 81.15659457728745, 28.257731077528558]"
922de,"[82.24415594225513, 27.51246645025453, 82.27033630488445, 27.535806676110596]"
cec8e,"[76.69689426509801, 24.80379217845986, 76.722531653169, 24.827191516619944]"
d19db,"[82.08775296776619, 27.42137031695018, 82.1138798864116, 27.444682371858992]"
29761,"[81.49365803604044, 27.77151029874907, 81.519749050573, 27.794715266263836]"
6fb0c,"[76.94753435443353, 24.638916455544166, 76.97317857393334, 24.662353415107034]"
7538c,"[76.69470121989833, 24.642022349266764, 76.72030315354948, 24.66542007779033]"
9a7a6,"[76.37156957709186, 25.15391143084173, 76.39722648077075, 25.17726124997241]"
6cffd,"[82.26664710495406, 27.211848233107965, 82.29275858265439, 27.23519104323839]"
4590f,"[82.06274403135933, 27.514004677473135, 82.0888885163299, 27.537312591726046]"
f21b3,"[82.3950049052533, 27.14128024736837, 82.42112437275071, 27.164645131843553]"
3258d,"[81.75047224298785, 27.331213927874455, 81.77650979193638, 27.35446539552034]"
1d732,"[81.28598638694466, 27.84146590116003, 81.31205100329099, 27.86463230873797]"
d2106,"[81.56897859356062, 27.262770076750655, 81.5949632200299, 27.28598875637792]"
5ffd2,"[81.6762389027736, 27.886250637841094, 81.70239571475899, 27.90948927149219]"
23a34,"[76.70006047315613, 25.03488553567777, 76.72574903369434, 25.05828717808935]"
5c658,"[83.73392254176522, 19.635069261985283, 83.75870669484644, 19.658550082783457]"
ec3d8,"[81.364135980899, 27.887487151338362, 81.3902281075384, 27.91066805484505]"
e2334,"[81.41440796811592, 27.425123242514744, 81.44039959441369, 27.448313797194984]"
6c1ac,"[76.82011939162902, 24.57119621736763, 76.84572736004789, 24.594612866335847]"
81228,"[87.73888646734918, 25.528403640915645, 87.76451011489455, 25.551650307274667]"
f8256,"[76.29489953049284, 25.108384518825595, 76.32053285556995, 25.131721678079998]"
d2ed0,"[77.23726586894918, 25.281857432740786, 77.26310274898312, 25.30534603159485]"
70b20,"[83.6292857086782, 19.19744140371936, 83.65398265061513, 19.220903473617454]"
ec37f,"[87.81720594824341, 25.805364968235867, 87.84290508095307, 25.82862540200601]"
07ea2,"[76.72510236250575, 25.011480108842793, 76.75079012231014, 25.03488553567777]"
1bfad,"[83.26881120469724, 19.52599980566559, 83.29351911325138, 19.54942445039046]"
c7ac7,"[82.55478650710563, 27.486176673296345, 82.58102180702001, 27.50957151976049]"
0932c,"[76.61706222474, 24.504203103062274, 76.64262130080566, 24.527587670740523]"
c623b,"[83.38935639924019, 19.431953261550785, 83.41406350076188, 19.455390914585262]"
dd867,"[87.58534919175067, 25.39042033743347, 87.6109144378866, 25.41364093639195]"
8aa05,"[82.95042949077335, 19.414137246111785, 82.97507865469355, 19.437522538301625]"
49bc5,"[82.42406774350196, 27.395170409057606, 82.45025488067404, 27.41854179064633]"
2d6ad,"[76.97172821335568, 24.569262390573783, 76.99736134502956, 24.592702413245377]"
72a8f,"[83.5097596016324, 19.337840687382204, 83.53446566543737, 19.36129107488275]"
2acd2,"[87.20368107517587, 25.437746357141133, 87.22918481953914, 25.460901907484185]"
8c8f4,"[83.41750967331524, 19.685881207004854, 83.44226331329793, 19.709325599484224]"
04e52,"[87.25504076562517, 25.64571670235006, 87.28059869154818, 25.668880770165583]"
18ac3,"[76.7948497613811, 24.571503703376706, 76.82045351448265, 24.594916439990353]"
a419f,"[82.32107217932219, 27.44241918252688, 82.34725060661643, 27.465772689303048]"
a1bff,"[83.75712954943339, 19.565370871786474, 83.78190451583936, 19.588853286115597]"
1a1a3,"[82.29761594752603, 27.650614114020932, 82.32384106692494, 27.67396448647163]"
a0d77,"[87.35684973913571, 25.576133620529415, 87.38241204572559, 25.59931530242182]"
e77b9,"[82.34640920782404, 27.395956074799795, 82.37258124263127, 27.419313811519974]"
ae676,"[82.14168898236241, 27.62890691002426, 82.16787748653357, 27.652229361624407]"
02248,"[82.99916841695831, 19.413600715074782, 83.02382366516696, 19.436991857326202]"
64200,"[87.38197254560727, 25.46047787355098, 87.40751478064199, 25.483663939502804]"
f4e9a,"[81.49428611082432, 27.910167061098786, 81.52041096273943, 27.93337211888988]"
73d63,"[83.72280462521638, 18.964911700296614, 83.74747382644709, 18.98838075591106]"
3c5d3,"[82.31970006953001, 27.326891535501066, 82.34584994703813, 27.35024422201938]"
80708,"[83.84859772331164, 19.21724776752996, 83.87332416511012, 19.24073499602259]"
4293d,"[76.7196700008233, 24.61862091026257, 76.74527114474913, 24.642022349266764]"
5a203,"[87.4333992282628, 25.599030859456807, 87.45898094599484, 25.62222565360626]"
07d47,"[76.65150228254598, 25.19723114999821, 76.67721823624902, 25.22062629338978]"
7fecf,"[87.91863506572102, 25.712280824449937, 87.94433252900645, 25.73555819412155]"
815fb,"[82.60693199001852, 27.508680694979198, 82.6331831163987, 27.53208481528338]"
d1283,"[83.84503523279092, 19.009284823983396, 83.86972617457573, 19.032768223766205]"
02694,"[82.47737720191165, 27.510141288199254, 82.50360320792541, 27.533522701107223]"
d6606,"[83.46349838798861, 19.500306270633896, 83.48822619205586, 19.523753548529758]"
d15ae,"[76.87134459859442, 24.616784805603178, 76.89697111814979, 24.64020978564624]"
cf193,"[83.51296091533014, 19.545853968884323, 83.5377025669868, 19.5693076819367]"
7ef12,"[83.33733458148859, 19.201436095238094, 83.36199682125414, 19.224864624527545]"
ba385,"[81.67326111571043, 27.400954517409378, 81.69929974406965, 27.424192143309714]"
125a5,"[87.84079366278041, 25.527836580319654, 87.86643609059983, 25.551100394337112]"
5a014,"[87.43348260126393, 25.62214779656424, 87.45906933106826, 25.645342597552855]"
76c70,"[76.65056867782178, 25.12790370082279, 76.676269117852, 25.15129817769999]"
3d355,"[82.14289138939482, 27.74443744849633, 82.16910866492043, 27.76776056104521]"
7dd5e,"[83.50520773906474, 19.037367793000847, 83.52986314390678, 19.06081338394705]"
84e6e,"[76.99699480310007, 24.5689252703717, 77.02263210717042, 24.592369171891026]"
e6dad,"[83.82427279111378, 19.217627840873792, 83.84899641214083, 19.241112335172296]"
7478e,"[81.44263420733142, 28.00279071240876, 81.46877087873054, 28.02598614179641]"
32c84,"[83.75129460947979, 19.218748727747595, 83.77600973680048, 19.242224992512284]"
f9e47,"[82.08797953596317, 27.444477708142113, 82.1141121225373, 27.467789885515568]"
219ff,"[82.52824345384039, 27.44026223791987, 82.55446217091027, 27.463652145183346]"
586a4,"[76.37182817118274, 25.177023607945674, 76.39749018431243, 25.200373600366625]"
2f797,"[83.82348390219315, 19.171413332153925, 83.84819960676707, 19.194896983276067]"
943d3,"[87.45880450067958, 25.575831712997644, 87.48438600197824, 25.599030859456807]"
485ab,"[81.4919026470635, 27.378634314934335, 81.51789908306722, 27.40183902566929]"
c35b8,"[81.5203003164344, 27.91006637310982, 81.54643056860708, 27.93327624892942]"
63eda,"[82.32328464792568, 27.627259292112225, 82.34950910517519, 27.650614114020932]"
31df3,"[82.94932919630497, 19.32165027418765, 82.97396304062337, 19.345034464454585]"
de780,"[81.26059788954205, 28.09572889358368, 81.28671886228085, 28.11889014949754]"
f79ce,"[81.54689665978731, 28.025504930893778, 81.57306075148318, 28.048719742313672]"
20f2f,"[87.78968916565134, 25.505013339801906, 87.8153171457367, 25.52826851900044]"
f4d66,"[83.41440591796577, 19.47785601153674, 83.4391238522463, 19.501297222411143]"
2f1a8,"[76.57352457701239, 25.059414757821326, 76.59919641856433, 25.08279643931625]"
cad07,"[76.72542549791658, 25.034588793641763, 76.75111840834562, 25.057994455578203]"
342a6,"[87.71245628366165, 25.366720459642472, 87.7380399827799, 25.389962429571842]"
caba7,"[83.53842752318786, 19.614844932087927, 83.56318409820038, 19.63830261609833]"
43d57,"[81.52041096273943, 27.933175463191912, 81.54654688425882, 27.956385358771538]"
2f1fb,"[81.59484015334537, 27.262657775116303, 81.6208299823382, 27.285881126706098]"
6de7b,"[83.9187234101818, 19.054350218944716, 83.94343054106473, 19.07784256010811]"
b57e6,"[83.53446566543737, 19.36061274342379, 83.5591785784723, 19.384066317014085]"
fe8c7,"[83.86893294684216, 18.98579915991529, 83.89362274093563, 19.009284823983396]"
543cc,"[83.82585738089253, 19.310056063767053, 83.85059689765976, 19.333542245143487]"
60bd5,"[82.27086838232076, 27.581543769873093, 82.29707107776127, 27.60488905736699]"
b076a,"[76.88150342507397, 25.28688641347068, 76.90727973867833, 25.31031897345169]"
43395,"[83.38433683779427, 19.085224775744557, 83.40898559475238, 19.108657196798088]"
738c6,"[87.63600467764702, 25.34396638475381, 87.66156933929787, 25.367195482314216]"
e0d5e,"[82.23978061729342, 27.119656279258322, 82.26586456348639, 27.14299395428536]"
2f15b,"[87.68899170251188, 25.71358736400556, 87.71464651649099, 25.736825846669433]"
a1d3d,"[81.44272870568098, 28.025899769525733, 81.46887105379939, 28.04909520444969]"
aea53,"[83.29091958503571, 19.363874324564126, 83.315603103802, 19.387299529328434]"
04eac,"[82.47768607615527, 27.533244780010186, 82.50391786934156, 27.556626385020035]"
0c691,"[87.45889266922886, 25.598948638696726, 87.4844791824183, 25.62214779656424]"
84de1,"[83.77253321624401, 19.033510942417863, 83.79721971146266, 19.056986648129097]"
43f3e,"[82.39731130629094, 27.326122545025974, 82.42347625136071, 27.349488849761627]"
15404,"[81.33798323138876, 27.841338565945236, 81.36405870925904, 27.864514653778528]"
6e3d6,"[83.55881754404143, 19.360268701421763, 83.58353336780306, 19.38372508732145]"
e19da,"[76.62548948778463, 25.15129817769999, 76.65119069644493, 25.174688820637144]"
cbe73,"[81.6208299823382, 27.28565151925472, 81.64683051690844, 27.30887957653504]"
f8a2a,"[87.43323278879146, 25.552796765198302, 87.45880450067958, 25.57599154561699]"
f3885,"[82.14265033559676, 27.721331499089246, 82.16886184332787, 27.744654479365405]"
50cbf,"[76.64902034572421, 25.012356437757248, 76.67469505390439, 25.035749804889434]"
dfd72,"[87.71327258261923, 25.505418286661445, 87.73888646734918, 25.52866059753121]"
58eff,"[83.51011327588971, 19.360953534675502, 83.53482327297196, 19.38440429148141]"
54d66,"[76.59473300178743, 24.73559086542787, 76.62033798454908, 24.758973616947138]"
cb0f5,"[87.86794027016717, 25.758831350500003, 87.89363859164293, 25.78210027980155]"
7644f,"[76.39749018431243, 25.19989345931434, 76.42316178271741, 25.223247737838282]"
b00d6,"[87.68793180231303, 25.52866059753121, 87.71354602283708, 25.551898661866755]"
882f6,"[81.44039959441369, 27.44815002756587, 81.46640201783306, 27.471345321591496]"
2bc73,"[81.36375053867184, 27.77193757207167, 81.38981464517292, 27.795118518523445]"
44005,"[82.42525497236281, 27.48758765119662, 82.45146511457682, 27.510959763412593]"
47271,"[76.46956234980236, 24.852466707112335, 76.49517089551138, 24.87583043295677]"
d4dcf,"[76.2951431682575, 25.131497574976922, 76.3207815735096, 25.154834894080228]"
ac8df,"[81.5682752433015, 27.124102164651486, 81.59422702431043, 27.14732066899982]"
fba3a,"[77.21018508012399, 25.18984037167395, 77.23599641534445, 25.21332372139558]"
ddf64,"[82.42555266570915, 27.510691762345065, 82.45176857607711, 27.534064057366322]"
782dc,"[83.04646276978865, 19.297449220569874, 83.07110485214577, 19.320844735963924]"
02f8a,"[76.49544923844597, 24.89843467630182, 76.52107226616403, 24.921802819205382]"
fb8c4,"[82.5276074787392, 27.394055649186168, 82.55381465803346, 27.41744515438847]"
a2596,"[82.97202602957788, 19.182654731394464, 82.99664004740963, 19.206040155885045]"
26aad,"[81.36507042203735, 28.164798202998202, 81.39123047605732, 28.187979002048287]"
df5a9,"[82.03726082684994, 27.560419987895546, 82.06341153083127, 27.583723493146056]"
faa27,"[76.51937709546829, 24.78261598013912, 76.5449792046072, 24.805987157657917]"
7f0c5,"[81.54596668361494, 27.840633343505743, 81.57208534211604, 27.863847959029375]"
c7ee6,"[83.7536135919345, 19.357399374612662, 83.77835251306946, 19.3808780976056]"
f6b64,"[87.73973921202334, 25.66709756401784, 87.7653933381201, 25.690344598526977]"
e3165,"[76.27095194016721, 25.247287014071667, 76.2966113330301, 25.270620992200104]"
c53f3,"[81.18277246436092, 28.303851457698798, 81.20892784394941, 28.326997605982278]"
51c8a,"[81.51693477453617, 27.1936461133036, 81.54289256197472, 27.216855374955834]"
d0f88,"[82.60559225681999, 27.416271647382853, 82.63182018046702, 27.439674907787882]"
32407,"[81.65023110697305, 27.88638066344213, 81.67638256529244, 27.909614513018493]"
436e1,"[81.51650951564206, 27.101199397203466, 81.54244550814134, 27.12440857929245]"
4463a,"[81.38956774400526, 27.72564165553881, 81.41562607077125, 27.748827423495413]"
c3cd0,"[81.2083448974754, 28.026499449637566, 81.23443793132373, 28.049651003642598]"
35c37,"[76.74271414269201, 24.456555834124117, 76.76828434265104, 24.479959540560618]"
45a93,"[81.54289256197472, 27.21665505793786, 81.56886101740086, 27.23986901170883]"
4bde6,"[81.56886101740086, 27.23965894994196, 81.59484015334537, 27.26287760036037]"
82a68,"[83.55666215838399, 19.221595927102356, 83.58135440604933, 19.24505004920471]"
f2ed7,"[77.0590063819856, 25.26137565417105, 77.0848078422947, 25.284836059675776]"
bb0c0,"[83.79683230019684, 19.033141177588124, 83.8215215906685, 19.056619594193418]"
1d696,"[76.54902550443427, 25.129017444426285, 76.57470834406315, 25.152395686053556]"
d5941,"[81.3635203701863, 27.7026068939619, 81.38956774400526, 27.725787866010073]"
5facc,"[81.75140935848802, 27.46987242832465, 81.7774803696621, 27.493124267490398]"
1d374,"[82.42141712798647, 27.18722696157347, 82.44755289741518, 27.21059670267184]"
7eb3a,"[82.29195912837476, 27.16539456844849, 82.31806432412269, 27.188741591719797]"
73bf7,"[81.4666944391735, 27.540503778825414, 81.49272428424482, 27.56370384804117]"
a3ed2,"[87.66156933929787, 25.366966765746007, 87.68714368091112, 25.39020018761411]"
558ac,"[82.3955794371357, 27.187491296632857, 82.42171023391103, 27.210856535839735]"
e0063,"[82.47461385337559, 27.30220626453101, 82.50078807919928, 27.325585951347183]"
94a00,"[82.16446894113353, 27.32830025308262, 82.19058850278222, 27.35162556982362]"
e0c43,"[81.8025580830662, 27.377136009191545, 81.82861712886655, 27.400396918663745]"
7145a,"[81.51909184038173, 27.655861244543352, 81.54516016952394, 27.679070902835825]"
a98e0,"[81.95847385469828, 27.445452894844507, 81.98458074006804, 27.46874193918995]"
da5fe,"[81.36283477541238, 27.494610685279277, 81.3888323066483, 27.517791733321022]"
14664,"[82.55381465803346, 27.41686800866116, 82.58003260255441, 27.44026223791987]"
5c4fa,"[82.4208319678935, 27.14101643433828, 82.44695639593708, 27.16438581151577]"
440bb,"[81.54255707085956, 27.14732066899982, 81.56850913209895, 27.170534549123275]"
b7609,"[87.40751478064199, 25.48352245058415, 87.43306675745836, 25.506712864652474]"
17d1f,"[82.27033630488445, 27.535332935134758, 82.29652750403072, 27.558677912278288]"
19944,"[81.5437931142598, 27.401543382762927, 81.56980557434736, 27.424757532780347]"
13e72,"[82.16886184332787, 27.74421554364863, 82.19508430644946, 27.767543318669055]"
aa355,"[81.5449309674713, 27.6326468494504, 81.57099902381592, 27.655861244543352]"
5c120,"[76.60070275330605, 25.19779848604384, 76.62640988567654, 25.221185494784674]"
dd795,"[87.53465493538856, 25.436857265463694, 87.56022071920154, 25.46006931091641]"
b0028,"[82.4243640196715, 27.418274839129364, 82.45055689798053, 27.44164640328621]"
048eb,"[81.54334176146932, 27.309099835540753, 81.56933216696531, 27.332313887459662]"
e7a52,"[76.55136934013481, 25.313898447376044, 76.57709349484844, 25.337278325404366]"
03517,"[81.5943493566331, 27.1702132498595, 81.62031723759927, 27.193436465941986]"
1ebeb,"[81.62462146158417, 27.95583173763873, 81.6507846447383, 27.97906091422199]"
134e4,"[83.53482327297196, 19.38372508732145, 83.55954012907281, 19.40717903432922]"
5ae3a,"[76.54383598090116, 24.71301760136477, 76.5694273082123, 24.736392172578988]"
44419,"[83.92279742953023, 19.285403505552253, 83.94754427013746, 19.308900223280876]"
2c869,"[87.68912492206778, 25.736702877328952, 87.71478483796915, 25.759941412281343]"
33d57,"[82.16763212841059, 27.628686085126027, 82.19382578900766, 27.65201317591518]"
c3d49,"[82.34668933944141, 27.419061277084005, 82.37286709704381, 27.44241918252688]"
18dd0,"[87.61196852936693, 25.621478243161764, 87.63758874032717, 25.644703524041592]"
7b71b,"[76.50166076630667, 25.406874602087655, 76.52739675561682, 25.430247046402986]"
1cf43,"[83.70113185193985, 19.12704100752441, 83.72582556878342, 19.150510158162454]"
1f3c0,"[76.32028444493658, 25.108156306500614, 76.34592223557624, 25.131497574976922]"
fbe98,"[81.46582030653772, 27.332505609580963, 81.49180049297492, 27.355705584763893]"
8641e,"[83.29351911325138, 19.54880484977607, 83.31823395589701, 19.57223271748536]"
18b22,"[82.32162332009634, 27.488629686615205, 82.34781321437296, 27.511983521858063]"
397d2,"[83.41134169507906, 19.269825564968905, 83.4360243474264, 19.293263598033768]"
6d444,"[83.75322570955807, 19.334291098550818, 83.77796065195734, 19.35776941169306]"
85252,"[81.26037513725343, 28.00329119337583, 81.28647354531087, 28.026452560246003]"
3a8ef,"[87.96835880186606, 25.55014253111871, 87.99402968313079, 25.573427775683218]"
9d575,"[82.34418016289254, 27.211111605702538, 82.37030665684465, 27.234467994552023]"
6c5bf,"[82.42466064966075, 27.4413791895414, 82.45085927585157, 27.464750936325363]"
7d633,"[76.66910858346638, 24.6191989927645, 76.69470121989833, 24.64259254658792]"
f069d,"[87.30563742662387, 25.48378774343811, 87.33117025485664, 25.506960728641687]"
1d088,"[82.39471815503396, 27.11817460423846, 82.4208319678935, 27.141539311430297]"
dda71,"[81.51822283048767, 27.470978893150882, 81.54424662803207, 27.494188392995483]"
11b17,"[82.37115707907381, 27.30327839517859, 82.39731130629094, 27.326639992338155]"
4a13e,"[76.87100078246793, 24.5936767119063, 76.89662222952494, 24.617101431568184]"
3484d,"[76.99626309125652, 24.52271219591419, 77.02189022683147, 24.546155533277354]"
35e18,"[81.28659605854037, 28.072562715042135, 81.31271688589109, 28.09572889358368]"
69a91,"[82.50109937981289, 27.34813406839099, 82.52729006011376, 27.37151865755843]"
cb914,"[83.31593032197057, 19.409795017499004, 83.34062461250267, 19.433223752855376]"
a0bed,"[83.77330188338249, 19.079728180564356, 83.79799621447488, 19.103204712611596]"
2c156,"[82.57970365360181, 27.416572229828475, 82.60592659107371, 27.439970977156943]"
ec148,"[82.29169328112556, 27.142288007419562, 82.31779283983573, 27.16563487174923]"
c5959,"[87.789387180326, 25.458781861791685, 87.81500503904248, 25.482036900209348]"
9b719,"[77.04790240570237, 24.591344026645128, 77.07355314038871, 24.614795962372877]"
fc4f7,"[76.71998637975504, 24.641730876710888, 76.74559256957401, 24.665132549837463]"
9eaa3,"[76.57381996991568, 25.08252508935677, 76.59949694110166, 25.10590697951097]"
e0eed,"[83.60862498872642, 19.428903680246574, 83.63335850418693, 19.452366834278788]"
2c5fe,"[76.6022184162416, 25.31334567651746, 76.62795147338342, 25.336733752836036]"
46e9e,"[81.57016211642642, 27.493877110624585, 81.59620200806553, 27.517096082278112]"
98d1c,"[81.49376240459497, 27.79461995361302, 81.51985904205232, 27.81782493618503]"
50bea,"[81.38948563912709, 27.70253142569221, 81.41553838851075, 27.725717197444553]"
45c85,"[82.34362622636634, 27.164899698265433, 82.36974140196311, 27.18825575067118]"
28f66,"[87.68701289196039, 25.36684581133146, 87.71259191537523, 25.390083509568083]"
082ee,"[76.6975243662237, 24.850011453439876, 76.72317193940998, 24.87341125199644]"
9f1f1,"[83.33766146611731, 19.224552277220333, 83.36232757596328, 19.247981147087295]"
68f0e,"[82.26874766390996, 27.396698529612326, 82.2949045358456, 27.42004257688191]"
78eaa,"[81.26031961394459, 27.980181573621127, 81.2864123974723, 28.003342968177627]"
23e86,"[83.73197264064218, 19.519528821696934, 83.75673665950424, 19.543007610525056]"
cae52,"[76.74239631217692, 24.433445582578745, 76.76796150956694, 24.45684905095293]"
19193,"[81.46611064121971, 27.40183902566929, 81.49210732162456, 27.425039032269748]"
a16a8,"[82.65840480816746, 27.484961164627734, 82.68466011205985, 27.50837410859071]"
c19b5,"[83.87171929899297, 19.147545573001285, 83.89643666252005, 19.171034242314384]"
9c7d2,"[81.62070156599715, 27.262540695561974, 81.64669659098179, 27.285768714296765]"
8a219,"[87.84127793185692, 25.59718211551871, 87.86693564137117, 25.620446167903413]"
6cef2,"[76.27071159557678, 25.224174095777375, 76.29636588310943, 25.2475079183487]"
9178f,"[82.11504384150639, 27.559802980422916, 82.14121001931794, 27.583120405770533]"
ba550,"[81.67638256529244, 27.909359119592793, 81.70254507844955, 27.93259780132381]"
76dff,"[76.69190958834537, 24.434027182628483, 76.71746637773374, 24.457422845536474]"
103c1,"[81.26043072640756, 28.02640073529149, 81.28653476564487, 28.04956207445415]"
3c15d,"[76.29612073583851, 25.22394905522621, 76.32177952340199, 25.247287014071667]"
fb753,"[83.84621759550225, 19.078606398611647, 83.87092032366813, 19.102091074091074]"
63462,"[87.35664451233343, 25.506781469440444, 87.38219189086149, 25.529963171625383]"
b5766,"[76.66972314175382, 24.66542007779033, 76.69532585416997, 24.688814082331575]"
24a91,"[83.0734493751534, 19.505250383523563, 83.0981292063342, 19.52865145199959]"
0c2c2,"[76.67406815086939, 24.98895927213568, 76.69974208245613, 25.012356437757248]"
7a99e,"[81.46767675840889, 27.77160551864914, 81.49376240459497, 27.794805691623512]"
2f682,"[82.3748776507877, 27.60364066937323, 82.40110652965032, 27.627004521415532]"
6c81d,"[87.30587182973441, 25.57625793721506, 87.33142450245788, 25.59943085896244]"
9783e,"[81.93276642705189, 27.46874193918995, 81.95887378951781, 27.492026436828468]"
0146f,"[76.61765447680312, 24.550426123028387, 76.64322354600075, 24.573811123329044]"
66c43,"[76.82045351448265, 24.594305053584073, 76.84606653839002, 24.617721954108465]"
7fba1,"[76.92977959007267, 25.12448252576589, 76.95552791746773, 25.147921252975834]"
bd726,"[83.74747382644709, 18.987659062007296, 83.77214971511472, 19.011131234303924]"
73e8a,"[83.79760768276977, 19.0793574504524, 83.82230481809628, 19.102836701459438]"
c70cb,"[81.46847106482865, 27.95648132175164, 81.49460182938569, 27.97968157725107]"
a1fdd,"[82.9476905352309, 19.182917945754806, 82.9723015547361, 19.206300483942957]"
92a23,"[87.4078273121348, 25.57599154561699, 87.4333992282628, 25.599181969090612]"
862dd,"[76.37131130237414, 25.130799179034867, 76.39696310277668, 25.154148824914525]"
496c3,"[76.27047154746356, 25.201061102980013, 76.29612073583851, 25.224394770027832]"
ec48b,"[82.27060218511922, 27.558438392168636, 82.29679912903714, 27.581783524462608]"
20168,"[76.47286431945366, 25.12980712365519, 76.49853389366845, 25.15317313859574]"
3913c,"[87.6630909590703, 25.64436284472059, 87.68872575224037, 25.667596839793653]"
15a16,"[77.23599641534445, 25.212555245272117, 77.26181732458743, 25.236042872269298]"
c3654,"[87.73747912213487, 25.297241210608036, 87.76305246307508, 25.320487263535654]"
5c6b1,"[81.41633129170037, 27.93354911112408, 81.44244554632532, 27.956739686534437]"
135e9,"[83.04877646355492, 19.482411510517018, 83.0734493751534, 19.50580936104114]"
03bcc,"[83.65176465021766, 19.08153386035563, 83.67644488209265, 19.104996730458772]"
a87cb,"[81.49303442414221, 27.63285073960823, 81.51909184038173, 27.65605561667682]"
b755f,"[83.50555486417812, 19.060481478440554, 83.5302141347301, 19.08392743806695]"
e125f,"[76.87831153358604, 25.078930730493788, 76.90404079912625, 25.102360931968676]"
b19a6,"[81.36390444093672, 27.818157636629294, 81.38997973561266, 27.841338565945236]"
603ac,"[87.63746598961386, 25.621364800282095, 87.6630909590703, 25.644594416726733]"
5eeba,"[81.8284448945194, 27.37697994403956, 81.8545091149996, 27.400245505237734]"
cee90,"[87.45915782454003, 25.668298975231338, 87.48475941006366, 25.69149816722958]"
35e45,"[81.4162427723682, 27.91043965865311, 81.44235138346532, 27.93363023323155]"
81997,"[81.51779142467551, 27.378535864099675, 81.5437931142598, 27.401745284622994]"
d1ca3,"[81.77699421187242, 27.42350648595135, 81.8030592429639, 27.446762872006445]"
